contig_id	size	genome_id
CP051311.1	239428	GCA_016452005.1
CP051312.1	101468	GCA_016452005.1
CP051313.1	4682076	GCA_016452025.1
CP051314.1	102373	GCA_016452025.1
CP051315.1	4797860	GCA_016452045.1
CP051316.1	170832	GCA_016452045.1
CP051317.1	4862977	GCA_016452065.1
CP051319.1	170814	GCA_016452065.1
CP051318.1	105973	GCA_016452065.1
CP051320.1	4794180	GCA_016452085.1
CP051322.1	278418	GCA_016452085.1
CP051321.1	9588	GCA_016452085.1
CP051323.1	4074	GCA_016452085.1
CP051324.1	2496	GCA_016452085.1
CP051329.1	5033061	GCA_016452105.1
CP051327.1	58790	GCA_016452105.1
CP051330.1	16747	GCA_016452105.1
CP051331.1	4018	GCA_016452105.1
CP051328.1	3375	GCA_016452105.1
CP051325.1	3319	GCA_016452105.1
CP051326.1	2470	GCA_016452105.1
CP051338.1	4915330	GCA_016452125.1
CP051332.1	330859	GCA_016452125.1
CP051335.1	159544	GCA_016452125.1
CP051334.1	48514	GCA_016452125.1
CP051336.1	5852	GCA_016452125.1
CP051341.1	5417	GCA_016452125.1
CP051339.1	4251	GCA_016452125.1
CP051333.1	4091	GCA_016452125.1
CP051340.1	3373	GCA_016452125.1
CP051337.1	2264	GCA_016452125.1
CP051342.1	4833900	GCA_016452145.1
CP051345.1	277441	GCA_016452145.1
CP051343.1	101468	GCA_016452145.1
CP051344.1	5698	GCA_016452145.1
CP053051.1	4884266	GCA_016452165.1
CP053053.1	219745	GCA_016452165.1
CP053054.1	94046	GCA_016452165.1
CP053052.1	25682	GCA_016452165.1
CP054465.1	3829	GCA_016452165.1
CP054466.1	3188	GCA_016452165.1
CP051346.1	4763422	GCA_016454165.1
CP051347.1	146811	GCA_016454165.1
CP051348.1	48581	GCA_016454165.1
CP051349.1	4794742	GCA_016454185.1
CP051350.1	4654533	GCA_016454205.1
CP051351.1	109942	GCA_016454205.1
CP051352.1	9569	GCA_016454205.1
CP051353.1	4974390	GCA_016454225.1
CP051354.1	104600	GCA_016454225.1
CP051355.1	10454	GCA_016454225.1
CP051356.1	4933457	GCA_016454245.1
CP051357.1	161620	GCA_016454245.1
CP051358.1	4856212	GCA_016454265.1
CP051359.1	234536	GCA_016454265.1
CP051360.1	167068	GCA_016454265.1
CP051361.1	95358	GCA_016454265.1
CP051366.1	4744179	GCA_016454285.1
CP051367.1	49582	GCA_016454285.1
CP051365.1	8688	GCA_016454285.1
CP051368.1	4677885	GCA_016454305.1
CP051369.1	136285	GCA_016454305.1
CP051370.1	4832735	GCA_016454325.1
CP051371.1	101673	GCA_016454325.1
CP051372.1	4644025	GCA_016454345.1
CP051374.1	194325	GCA_016454345.1
CP051373.1	122954	GCA_016454345.1
CP051375.1	3605	GCA_016454345.1
CP051380.1	4870722	GCA_016454365.1
CP051379.1	224721	GCA_016454365.1
CP051377.1	94046	GCA_016454365.1
CP051376.1	3829	GCA_016454365.1
CP051378.1	3188	GCA_016454365.1
CP051381.1	4792518	GCA_016454385.1
CP051382.1	235025	GCA_016454385.1
CP051383.1	112349	GCA_016454385.1
CP051384.1	4900070	GCA_016454425.1
CP051385.1	111658	GCA_016454425.1
CP051386.1	4860673	GCA_016454445.1
CP051387.1	131331	GCA_016454445.1
CP051388.1	120420	GCA_016454445.1
CP051389.1	4744876	GCA_016454465.1
CP051390.1	11037	GCA_016454465.1
CP051391.1	4796193	GCA_016454485.1
CP051392.1	282550	GCA_016454485.1
CP051393.1	51490	GCA_016454485.1
CP051394.1	4704366	GCA_016454505.1
CP051395.1	155923	GCA_016454505.1
CP051396.1	4841659	GCA_016454525.1
CP051397.1	191208	GCA_016454525.1
CP051398.1	4841666	GCA_016454545.1
CP051400.1	183507	GCA_016454545.1
CP051399.1	4198	GCA_016454545.1
CP051401.1	3372	GCA_016454545.1
CP051402.1	4891101	GCA_016454585.1
CP051403.1	102040	GCA_016454585.1
CP051404.1	4820130	GCA_016454605.1
CP051405.1	99003	GCA_016454605.1
CP051406.1	95919	GCA_016454605.1
CP051410.1	4744872	GCA_016454645.1
CP051411.1	125574	GCA_016454645.1
CP051412.1	232583	GCA_016454645.1
CP051413.1	5002914	GCA_016454665.1
CP051414.1	3371	GCA_016454665.1
CP051415.1	3319	GCA_016454665.1
CP051416.1	4834032	GCA_016454705.1
CP051417.1	10910	GCA_016454705.1
CP051418.1	4593	GCA_016454705.1
CP051425.1	4722156	GCA_016454725.1
CP051426.1	188725	GCA_016454725.1
CP051420.1	83778	GCA_016454725.1
CP051424.1	57420	GCA_016454725.1
CP051421.1	8496	GCA_016454725.1
CP051419.1	3372	GCA_016454725.1
CP051423.1	2444	GCA_016454725.1
CP051422.1	2096	GCA_016454725.1
CP053048.1	4865042	GCA_016454765.1
CP053049.1	224991	GCA_016454765.1
CP053050.1	54008	GCA_016454765.1
CP053055.1	4736183	GCA_016454785.1
CP053056.1	269824	GCA_016454785.1
CP043907.1	4870224	GCA_016864495.1
CP043905.1	93830	GCA_016864495.1
CP043906.1	41389	GCA_016864495.1
CP063140.1	4691273	GCA_016864955.1
CP069518.1	4675929	GCA_016889645.1
CP069519.1	128163	GCA_016889645.1
CP051363.1	4884345	GCA_016952595.1
CP051362.1	3848	GCA_016952595.1
CP051364.1	107602	GCA_016952595.1
CP064919.1	4862477	GCA_017094605.1
CP067091.1	4796355	GCA_017893505.1
CP067092.1	93939	GCA_017893505.1
CP067397.1	4796208	GCA_017893625.1
CP067398.1	93938	GCA_017893625.1
CP140405.1	4719085	GCA_018311215.2
CP140406.1	93183	GCA_018311215.2
CP140407.1	2096	GCA_018311215.2
CP047424.1	4828570	GCA_018336435.1
CP047425.1	17726	GCA_018336435.1
CP073715.1	4667486	GCA_018340585.1
CP073716.1	4712	GCA_018340585.1
CP073717.1	3904	GCA_018340585.1
CP075372.1	5032348	GCA_018460045.1
CP075373.1	250232	GCA_018460045.1
CP077680.1	4980943	GCA_019063905.1
CP077681.1	3895	GCA_019063905.1
CP077682.1	3877	GCA_019063905.1
CP140409.1	4719088	GCA_019105565.2
CP140411.1	93183	GCA_019105565.2
CP140410.1	7938	GCA_019105565.2
CP140408.1	4192	GCA_019105565.2
CP079839.1	5081513	GCA_019339425.1
CP079836.1	5045976	GCA_019339445.1
CP079838.1	4970704	GCA_019339465.1
CP079837.1	4786296	GCA_019339485.1
CP066851.1	4751137	GCA_019426245.1
CP066852.1	37718	GCA_019426245.1
CP080091.1	4680320	GCA_019428465.1
CP080092.1	59372	GCA_019428465.1
CP080093.1	56813	GCA_019428465.1
CP080094.1	33310	GCA_019428465.1
CP080513.1	4826311	GCA_019468645.1
CP080515.1	129660	GCA_019468645.1
CP080516.1	3228	GCA_019468645.1
CP080517.1	3383	GCA_019468645.1
CP080514.1	352141	GCA_019468645.1
CP051213.1	4928262	GCA_019469485.1
CP080960.1	4774014	GCA_019645915.1
AP023288.1	4995025	GCA_019670145.1
AP023289.1	4998784	GCA_019670165.1
AP023290.1	4957303	GCA_019670185.1
AP023291.1	4968591	GCA_019670205.1
AP023292.1	4918843	GCA_019670225.1
AP023293.1	7618	GCA_019670225.1
AP023294.1	4915346	GCA_019670245.1
AP023295.1	60222	GCA_019670245.1
AP023296.1	6835	GCA_019670245.1
AP023297.1	4869	GCA_019670245.1
AP023298.1	4060	GCA_019670245.1
AP023299.1	4916924	GCA_019670265.1
AP023300.1	4916896	GCA_019670285.1
AP023301.1	131843	GCA_019670285.1
AP023302.1	7257	GCA_019670285.1
AP023303.1	5015241	GCA_019670305.1
AP023304.1	4979412	GCA_019670325.1
AP023305.1	128709	GCA_019670325.1
AP023306.1	4916898	GCA_019670345.1
AP023307.1	131843	GCA_019670345.1
AP023308.1	7257	GCA_019670345.1
AP023309.1	4889480	GCA_019670365.1
AP023310.1	229829	GCA_019670365.1
AP023311.1	4915174	GCA_019670385.1
AP023312.1	230500	GCA_019670385.1
AP023313.1	4908965	GCA_019670405.1
AP023314.1	99131	GCA_019670405.1
AP023315.1	4916845	GCA_019670425.1
AP023316.1	229829	GCA_019670425.1
AP023317.1	4979828	GCA_019670445.1
AP023318.1	151734	GCA_019670445.1
AP023319.1	4957296	GCA_019670465.1
CP081187.1	4972233	GCA_019710375.1
CP081188.1	3838	GCA_019710375.1
CP081189.2	4934155	GCA_019710395.3
CP081190.2	84884	GCA_019710395.3
CP081858.1	4811709	GCA_019797945.1
CP081859.1	11046	GCA_019797945.1
CP082338.1	4803884	GCA_019890995.1
CP082339.1	48502	GCA_019890995.1
CP082340.1	4915	GCA_019890995.1
CP082916.1	4679998	GCA_019931635.1
CP082917.1	59361	GCA_019931635.1
CP077662.1	4834280	GCA_019969195.1
CP077663.1	33308	GCA_019969195.1
CP077668.1	4996978	GCA_019969235.1
CP077669.1	94048	GCA_019969235.1
CP077670.1	4690166	GCA_019969255.1
CP077671.1	238101	GCA_019969255.1
CP077760.1	4624135	GCA_020023795.1
CP077761.1	88418	GCA_020023795.1
CP077762.1	56404	GCA_020023795.1
CP084532.1	4679414	GCA_020410865.1
CP084533.1	59372	GCA_020410865.1
CP085696.1	4862752	GCA_020691705.1
CP085698.1	3373	GCA_020691705.1
CP085697.1	237710	GCA_020691705.1
CP085699.1	5004066	GCA_020691725.1
CP085701.1	5430	GCA_020691725.1
CP085702.1	4081	GCA_020691725.1
CP085703.1	4062	GCA_020691725.1
CP085700.1	88502	GCA_020691725.1
CP085793.1	4713645	GCA_020714645.1
CP085809.1	4790182	GCA_020714685.1
CP085811.1	4749489	GCA_020714705.1
CP085792.1	4713627	GCA_020714725.1
CP085794.1	4679172	GCA_020714745.1
CP085796.1	4679287	GCA_020714765.1
CP085795.1	4679376	GCA_020714785.1
CP085797.1	4713617	GCA_020714805.1
CP085810.1	4750314	GCA_020714825.1
CP085798.1	4715683	GCA_020714845.1
CP085814.1	4713690	GCA_020714865.1
CP085812.1	4749459	GCA_020714885.1
CP085799.1	4712297	GCA_020714905.1
CP085813.1	4713683	GCA_020714925.1
CP085800.1	4712346	GCA_020715045.1
CP085801.1	4713682	GCA_020715165.1
CP085803.1	4711483	GCA_020715225.1
CP085802.1	4713643	GCA_020715265.1
CP085804.1	4711493	GCA_020715285.1
CP085805.1	4713493	GCA_020715305.1
CP085806.1	4713509	GCA_020715325.1
CP085807.1	4791720	GCA_020715345.1
CP085808.1	4790278	GCA_020715365.1
CP085815.1	4713725	GCA_020715385.1
CP085816.1	4713759	GCA_020715405.1
CP085817.1	4711503	GCA_020715425.1
CP085819.1	4874281	GCA_020715445.1
CP085818.1	4711668	GCA_020715465.1
CP085820.1	4874189	GCA_020715485.1
CP085822.1	4713642	GCA_020715505.1
CP085823.1	4688408	GCA_020715525.1
CP085824.1	4679279	GCA_020715545.1
CP085821.1	4713711	GCA_020716645.1
CP085983.1	4689704	GCA_020736305.1
CP085984.1	280239	GCA_020736305.1
CP085985.1	53154	GCA_020736305.1
CP085981.1	4689375	GCA_020736325.1
CP085982.1	272840	GCA_020736325.1
CP085980.1	53986	GCA_020736325.1
CP085987.1	5052615	GCA_020736345.1
CP085986.1	79333	GCA_020736345.1
CP086118.1	4983099	GCA_020783475.1
CP089207.1	4746494	GCA_021183525.1
CP089208.1	308491	GCA_021183525.1
CP089209.1	4972723	GCA_021183545.1
CP089210.1	266098	GCA_021183545.1
CP089313.1	4740896	GCA_021228955.1
CP089314.1	3374	GCA_021228955.1
CP089788.1	4838525	GCA_021266225.1
CP089789.1	4837844	GCA_021266245.1
CP089790.1	4836593	GCA_021266265.1
CP089791.1	4822417	GCA_021266285.1
CP089792.1	4834370	GCA_021266305.1
CP089794.1	4837091	GCA_021266345.1
CP089795.1	4884180	GCA_021266365.1
CP089797.1	4823610	GCA_021266405.1
CP089798.1	4837742	GCA_021266425.1
CP089799.1	4837105	GCA_021266445.1
CP075174.1	4651005	GCA_021383745.1
CP090137.1	4647582	GCA_021397625.1
CP090138.1	300750	GCA_021397625.1
CP090139.1	53329	GCA_021397625.1
CP090140.1	6727	GCA_021397625.1
CP090141.1	4647696	GCA_021397645.1
CP090142.1	294023	GCA_021397645.1
CP090144.1	4593	GCA_021397645.1
CP090143.1	53329	GCA_021397645.1
CP090133.1	4647585	GCA_021397675.1
CP090134.1	294023	GCA_021397675.1
CP090136.1	4593	GCA_021397675.1
CP090135.1	53329	GCA_021397675.1
CP090304.1	4857450	GCA_021399255.1
CP090545.1	5019931	GCA_021474245.1
CP090546.1	250700	GCA_021474245.1
CP090529.1	4976978	GCA_021474265.1
CP090531.1	3373	GCA_021474265.1
CP090532.1	93407	GCA_021474265.1
CP090530.1	241424	GCA_021474265.1
CP090533.1	5019610	GCA_021474285.1
CP090534.1	292358	GCA_021474285.1
CP090535.1	4955735	GCA_021474305.1
CP090537.1	4074	GCA_021474305.1
CP090538.1	90380	GCA_021474305.1
CP090536.1	170071	GCA_021474305.1
CP090539.1	4982119	GCA_021474325.1
CP090540.1	242063	GCA_021474325.1
CP090541.1	4963388	GCA_021474345.1
CP090543.1	3136	GCA_021474345.1
CP090544.1	3042	GCA_021474345.1
CP090542.1	144387	GCA_021474345.1
CP090929.1	5023197	GCA_021496255.1
CP090930.1	5020666	GCA_021496275.1
CP071388.1	4856956	GCA_021497565.1
CP071389.1	295499	GCA_021497565.1
CP071390.1	94574	GCA_021497565.1
CP071391.1	50931	GCA_021497565.1
CP071392.1	5284	GCA_021497565.1
CP068696.1	4905024	GCA_021513315.1
CP068697.1	93874	GCA_021513315.1
CP067082.1	4664088	GCA_021545725.1
CP067083.1	295452	GCA_021545725.1
CP067084.1	2264	GCA_021545725.1
CP067085.1	1240	GCA_021545725.1
CP067078.1	4714141	GCA_021545805.1
CP067079.1	271919	GCA_021545805.1
CP067080.1	27718	GCA_021545805.1
CP067081.1	4215	GCA_021545805.1
CP091300.1	4670990	GCA_021713115.1
CP091299.1	104427	GCA_021713115.1
CP092040.1	4680845	GCA_022117515.1
CP092041.1	250171	GCA_022117515.1
CP091878.1	4825110	GCA_022162985.1
CP091879.1	3967	GCA_022162985.1
CP092075.1	4714072	GCA_022226915.1
CP092076.1	62386	GCA_022226915.1
CP092258.1	4740845	GCA_022350005.1
CP092259.1	214299	GCA_022350005.1
CP092260.1	38906	GCA_022350005.1
CP092261.1	5632	GCA_022350005.1
CP092262.1	3897	GCA_022350005.1
CP092263.1	3272	GCA_022350005.1
CP092861.1	5066993	GCA_022533545.1
CP092862.1	246756	GCA_022533545.1
CP092911.1	4898114	GCA_022557215.1
CP092913.1	80314	GCA_022557215.1
CP092914.1	4628	GCA_022557215.1
CP092912.1	88258	GCA_022557215.1
CP060834.1	4683638	GCA_022559345.1
CP060836.1	4267	GCA_022559345.1
CP060835.1	248180	GCA_022559345.1
CP060837.1	4695756	GCA_022559365.1
CP060839.1	4267	GCA_022559365.1
CP060838.1	252011	GCA_022559365.1
CP060840.1	4651619	GCA_022559385.1
CP060842.1	6432	GCA_022559385.1
CP060843.1	4267	GCA_022559385.1
CP060841.1	252013	GCA_022559385.1
CP060846.1	4683338	GCA_022559425.1
CP060848.1	4267	GCA_022559425.1
CP060847.1	253764	GCA_022559425.1
CP060849.1	4727987	GCA_022559445.1
CP060851.1	4267	GCA_022559445.1
CP060850.1	251692	GCA_022559445.1
CP060852.1	4715179	GCA_022559465.1
CP060854.1	4267	GCA_022559465.1
CP060853.1	251455	GCA_022559465.1
CP060855.1	4682442	GCA_022559485.1
CP060856.1	220699	GCA_022559485.1
CP088901.1	4856858	GCA_022559825.1
CP088902.1	285167	GCA_022559825.1
CP093386.1	4856455	GCA_022655645.1
CP093387.1	93849	GCA_022655645.1
CP093388.1	3910	GCA_022655645.1
CP093389.1	3176	GCA_022655645.1
CP093391.1	4714721	GCA_022655665.1
CP093390.1	4713600	GCA_022655685.1
CP093392.1	4704408	GCA_022655705.1
CP093393.1	58608	GCA_022655705.1
CP093400.1	4851135	GCA_022670675.1
CP093401.1	195315	GCA_022670675.1
CP093402.1	4975247	GCA_022670695.1
CP093403.1	4880447	GCA_022670715.1
CP093404.1	215451	GCA_022670715.1
CP093405.1	4929834	GCA_022670735.1
CP093406.1	265849	GCA_022670735.1
CP093407.1	4880022	GCA_022670755.1
CP093410.1	2228	GCA_022670755.1
CP093409.1	3373	GCA_022670755.1
CP093408.1	302777	GCA_022670755.1
CP093411.1	4884952	GCA_022670775.1
CP093412.1	278374	GCA_022670775.1
CP093445.1	4957438	GCA_022670835.1
CP094332.1	4959696	GCA_022760155.1
CP094333.1	109070	GCA_022760155.1
CP094334.1	70455	GCA_022760155.1
CP094335.1	3592	GCA_022760155.1
CP094336.1	4059	GCA_022760155.1
CP094337.1	3001	GCA_022760155.1
CP064363.1	4482096	GCA_022869585.1
CP064385.1	4857492	GCA_022869965.1
CP064386.1	93933	GCA_022869965.1
CP058671.1	4826040	GCA_022870605.1
CP058672.1	242694	GCA_022870605.1
CP058673.1	51521	GCA_022870605.1
CP058674.1	3371	GCA_022870605.1
CP068018.1	5022311	GCA_022870685.1
CP068019.1	208610	GCA_022870685.1
CP068020.1	3988	GCA_022870685.1
CP068021.1	3830	GCA_022870685.1
CP091998.1	4838258	GCA_022936345.1
CP091999.1	4800346	GCA_022936365.1
CP092000.1	19682	GCA_022936365.1
CP092001.1	5649	GCA_022936365.1
CP092002.1	4820	GCA_022936365.1
CP092003.1	4018	GCA_022936365.1
CP092004.1	4870154	GCA_022936385.1
CP092005.1	4593	GCA_022936385.1
CP092006.1	4813657	GCA_022936405.1
CP092007.1	340763	GCA_022936405.1
CP092008.1	4774	GCA_022936405.1
CP092009.1	4859922	GCA_022936425.1
CP092010.1	63499	GCA_022936425.1
CP092011.1	5728	GCA_022936425.1
CP092012.1	4867746	GCA_022936485.1
CP092013.1	4593	GCA_022936485.1
CP093373.1	4723573	GCA_023024545.1
CP093374.1	320713	GCA_023024545.1
CP096118.1	4894296	GCA_023158855.1
CP096119.1	235522	GCA_023158855.1
CP091997.1	4828508	GCA_023159325.1
CP091544.1	4978171	GCA_023330705.1
CP091546.1	3885	GCA_023330705.1
CP091545.1	188626	GCA_023330705.1
CP091547.1	5021524	GCA_023330725.1
CP091549.1	3988	GCA_023330725.1
CP091548.1	271705	GCA_023330725.1
CP091550.1	4854608	GCA_023330745.1
CP091552.1	2953	GCA_023330745.1
CP091553.1	2900	GCA_023330745.1
CP091551.1	301285	GCA_023330745.1
CP091554.1	4974477	GCA_023330765.1
CP091555.1	249973	GCA_023330765.1
CP091556.1	4909510	GCA_023330785.1
CP091557.1	221549	GCA_023330785.1
CP091558.1	5008464	GCA_023330805.1
CP091559.1	287681	GCA_023330805.1
CP091560.1	4988055	GCA_023330825.1
CP091562.1	5430	GCA_023330825.1
CP091561.1	215225	GCA_023330825.1
CP091563.1	5023327	GCA_023330845.1
CP091565.1	70486	GCA_023330845.1
CP091564.1	295985	GCA_023330845.1
CP091566.1	4973782	GCA_023330865.1
CP091568.1	7942	GCA_023330865.1
CP091567.1	33309	GCA_023330865.1
CP091569.1	4979324	GCA_023330885.1
CP091570.1	247705	GCA_023330885.1
CP091571.1	4967188	GCA_023330905.1
CP091572.1	180977	GCA_023330905.1
CP091573.1	86718	GCA_023330905.1
CP091574.1	78621	GCA_023330905.1
CP091576.1	3554	GCA_023330905.1
CP091575.1	65271	GCA_023330905.1
CP097262.1	4679859	GCA_023379985.1
CP088134.1	4758930	GCA_023518135.1
CP088135.1	49556	GCA_023518135.1
CP088136.1	4652858	GCA_023518155.1
CP088137.1	86811	GCA_023518155.1
CP088138.1	4896004	GCA_023518175.1
CP088139.1	125931	GCA_023518175.1
CP088140.1	8274	GCA_023518175.1
CP088141.1	6645	GCA_023518175.1
CP088142.1	4664130	GCA_023518195.1
CP088143.1	92906	GCA_023518195.1
CP088144.1	4634	GCA_023518195.1
CP098438.1	4784174	GCA_023702165.1
CP098439.1	109442	GCA_023702165.1
CP098741.1	4823435	GCA_023746725.1
CP098742.1	109442	GCA_023746725.1
CP098829.1	4990287	GCA_023848535.1
CP098830.1	3373	GCA_023848535.1
CP098831.1	4808467	GCA_023848615.1
CP098832.1	229976	GCA_023848615.1
CP098833.1	3372	GCA_023848615.1
CP098834.1	4963890	GCA_023848645.1
CP098835.1	241147	GCA_023848645.1
CP098836.1	33858	GCA_023848645.1
CP098837.1	3554	GCA_023848645.1
CP099973.1	4680001	GCA_024137945.1
CP099974.1	29336	GCA_024137945.1
CP100666.1	4777143	GCA_024266125.1
CP100668.1	29336	GCA_024266125.1
CP100669.1	6080	GCA_024266125.1
CP100667.1	64325	GCA_024266125.1
CP100678.1	4732812	GCA_024266145.1
CP100681.1	4072	GCA_024266145.1
CP100680.1	4697	GCA_024266145.1
CP100679.1	88397	GCA_024266145.1
CP100670.1	4760001	GCA_024266165.1
CP100677.1	1304	GCA_024266165.1
CP100676.1	2562	GCA_024266165.1
CP100675.1	4018	GCA_024266165.1
CP100672.1	48530	GCA_024266165.1
CP100674.1	5177	GCA_024266165.1
CP100673.1	9316	GCA_024266165.1
CP100671.1	99204	GCA_024266165.1
CP100682.1	4645547	GCA_024266185.1
CP100683.1	262557	GCA_024266185.1
CP100684.1	3172	GCA_024266185.1
CP100685.1	4645547	GCA_024266205.1
CP100686.1	279202	GCA_024266205.1
CP100688.1	3172	GCA_024266205.1
CP100687.1	62147	GCA_024266205.1
CP100739.1	4790069	GCA_024266225.1
CP100743.1	2119	GCA_024266225.1
CP100740.1	199721	GCA_024266225.1
CP100742.1	5892	GCA_024266225.1
CP100741.1	88662	GCA_024266225.1
CP100744.1	4730593	GCA_024266245.1
CP100745.1	299493	GCA_024266245.1
CP100746.1	8138	GCA_024266245.1
CP100689.1	4745939	GCA_024266265.1
CP100690.1	258970	GCA_024266265.1
CP100747.1	4652052	GCA_024266285.1
CP100751.1	2109	GCA_024266285.1
CP100750.1	2965	GCA_024266285.1
CP100749.1	3428	GCA_024266285.1
CP100748.1	84323	GCA_024266285.1
CP100691.1	4977701	GCA_024266305.1
CP100692.1	11080	GCA_024266305.1
CP100693.1	4723189	GCA_024266345.1
CP100694.1	113134	GCA_024266345.1
CP100695.1	4948276	GCA_024266365.1
CP100697.1	78306	GCA_024266365.1
CP100696.1	81966	GCA_024266365.1
CP100698.1	4801264	GCA_024266385.1
CP100699.1	181948	GCA_024266385.1
CP100701.1	3263	GCA_024266385.1
CP100700.1	3830	GCA_024266385.1
CP100702.1	4764385	GCA_024266405.1
CP100703.1	149266	GCA_024266405.1
CP100706.1	15860	GCA_024266405.1
CP100705.1	35226	GCA_024266405.1
CP100704.1	93173	GCA_024266405.1
CP100707.1	4962789	GCA_024266425.1
CP100708.1	278879	GCA_024266425.1
CP100709.1	97209	GCA_024266425.1
CP100715.1	4955572	GCA_024266445.1
CP100716.1	294171	GCA_024266445.1
CP100717.1	3988	GCA_024266445.1
CP100710.1	4890321	GCA_024266465.1
CP100714.1	4593	GCA_024266465.1
CP100713.1	4657	GCA_024266465.1
CP100712.1	48530	GCA_024266465.1
CP100711.1	77896	GCA_024266465.1
CP100722.1	4750785	GCA_024266485.1
CP100723.1	328074	GCA_024266485.1
CP100718.1	4987481	GCA_024266505.1
CP100721.1	4245	GCA_024266505.1
CP100720.1	71243	GCA_024266505.1
CP100719.1	81966	GCA_024266505.1
CP100724.1	4752036	GCA_024266525.1
CP100726.1	24484	GCA_024266525.1
CP100727.1	6080	GCA_024266525.1
CP100725.1	64326	GCA_024266525.1
CP100728.1	4922910	GCA_024266545.1
CP100731.1	4593	GCA_024266545.1
CP100730.1	48530	GCA_024266545.1
CP100729.1	83642	GCA_024266545.1
CP100732.1	4790068	GCA_024266565.1
CP100733.1	161012	GCA_024266565.1
CP100735.1	5423	GCA_024266565.1
CP100734.1	87844	GCA_024266565.1
CP100736.1	4801266	GCA_024266785.1
CP100737.1	258626	GCA_024266785.1
CP100738.1	3263	GCA_024266785.1
CP099705.1	4913592	GCA_024266875.1
CP101365.1	4883448	GCA_024364825.1
CP101366.1	62098	GCA_024364825.1
CP101369.1	4920434	GCA_024364845.1
CP101368.1	58878	GCA_024364845.1
CP101371.1	90508	GCA_024364845.1
CP101370.1	33309	GCA_024364845.1
CP101372.1	5245093	GCA_024364865.1
CP101373.1	4950959	GCA_024364885.1
CP101374.1	33309	GCA_024364885.1
CP101375.1	5247576	GCA_024364905.1
CP101376.1	4999651	GCA_024364925.1
CP101377.1	5632	GCA_024364925.1
CP101378.1	116686	GCA_024364925.1
CP101379.1	4999786	GCA_024364945.1
CP101381.1	3136	GCA_024364945.1
CP101380.1	147496	GCA_024364945.1
CP101382.1	4958087	GCA_024364965.1
CP101385.1	4677	GCA_024364965.1
CP101384.1	6647	GCA_024364965.1
CP101383.1	257067	GCA_024364965.1
CP101386.1	4973602	GCA_024364985.1
CP101387.1	218090	GCA_024364985.1
CP101388.1	5002315	GCA_024365005.1
CP101389.1	256591	GCA_024365005.1
CP101390.1	4978290	GCA_024365025.1
CP101391.1	249573	GCA_024365025.1
CP101647.1	4809621	GCA_024442255.1
CP101648.1	4809636	GCA_024442275.1
CP101689.1	4837568	GCA_024494525.1
CP101690.1	10047	GCA_024494525.1
CP101691.1	9208	GCA_024494525.1
CP101692.1	7769	GCA_024494525.1
CP101940.1	4837940	GCA_024507995.1
CP101941.1	152311	GCA_024507995.1
CP101942.1	3071	GCA_024507995.1
CP101907.1	4803791	GCA_024508075.1
CP101908.1	152311	GCA_024508075.1
CP101909.1	3071	GCA_024508075.1
CP102719.1	4948090	GCA_024722255.1
CP102669.1	4961176	GCA_024722435.1
CP102670.1	93832	GCA_024722435.1
CP102739.1	4882250	GCA_024722455.1
CP102740.1	85309	GCA_024722455.1
CP102741.1	4234	GCA_024722455.1
CP102742.1	4197	GCA_024722455.1
CP102743.1	3428	GCA_024722455.1
CP102744.1	3374	GCA_024722455.1
CP102756.1	4905153	GCA_024722475.1
CP102757.1	84242	GCA_024722475.1
CP102758.1	6912	GCA_024722475.1
CP102759.1	4657	GCA_024722475.1
CP102760.1	3373	GCA_024722475.1
CP102761.1	2058	GCA_024722475.1
CP102827.1	4821996	GCA_024731345.1
CP102828.1	237848	GCA_024731345.1
CP102829.1	50798	GCA_024731345.1
CP103771.1	4952513	GCA_024917195.1
CP103772.1	85991	GCA_024917195.1
CP103773.1	5269	GCA_024917195.1
CP103774.1	4715	GCA_024917195.1
CP103775.1	4657	GCA_024917195.1
CP103776.1	3751	GCA_024917195.1
CP103791.1	4632120	GCA_024917215.1
CP103792.1	278481	GCA_024917215.1
CP104049.2	4889093	GCA_025159055.2
CP127218.1	4568	GCA_025159055.2
CP127219.1	6747	GCA_025159055.2
CP104358.1	4685980	GCA_025259065.1
CP104359.1	59372	GCA_025259065.1
CP104360.1	4633	GCA_025259065.1
CP104361.1	4585	GCA_025259065.1
CP104362.1	4685980	GCA_025259185.1
CP104363.1	59372	GCA_025259185.1
CP104364.1	4633	GCA_025259185.1
CP104365.1	4585	GCA_025259185.1
CP104366.1	4863704	GCA_025259345.1
CP104367.1	93844	GCA_025259345.1
CP104368.1	4821578	GCA_025259525.1
CP104369.1	291810	GCA_025259525.1
CP104370.1	93862	GCA_025259525.1
CP104479.1	4919686	GCA_025310955.1
CP104480.1	44362	GCA_025310955.1
CP104481.1	2442	GCA_025310955.1
CP104482.1	4796592	GCA_025311075.1
CP104483.1	3282	GCA_025311075.1
CP104484.1	4969564	GCA_025311235.1
CP104485.1	82631	GCA_025311235.1
CP104486.1	69202	GCA_025311235.1
CP104487.1	4234	GCA_025311235.1
CP104488.1	4806677	GCA_025311295.1
CP104489.1	44362	GCA_025311295.1
CP104490.1	3373	GCA_025311295.1
CP104491.1	4964371	GCA_025311435.1
CP104492.1	8873	GCA_025311435.1
CP104493.1	3924	GCA_025311435.1
CP104677.1	4774206	GCA_025398995.1
CP104638.1	4825930	GCA_025399015.1
